id;Pocket;Table;Turn;River
3599;2h8h;8c9d7d;qs;as
3603;ac6c;4dth2h;5h;
3611;ks2s;jd5c8s;as;tc
3617;ts5s;2dtdkh;as;
3620;3hkh;5cacjs;7s;
3658;3d2d;3skd6d;7h;7c
3665;4s8s;2s7sah;ts;qs
3675;2s6s;4dtckd;6h;
3679;8s4s;;;
3688;8dad;2cks5s;ts;
3704;tc4c;qdkhqc;th;
3708;2sts;9cac6c;ah;
3709;tc4c;;;
3720;9hqh;6s2c9c;5h;
3735;7c4c;3casjc;2d;2s
3748;7s6s;6d8s6h;8d;5h
3752;adjd;4h5h3c;6c;kc
3754;9dqd;3c3h8s;8h;7c
3755;8h3h;7h5h9h;;
3760;jc7c;2d5dts;qh;
3767;khqh;8h5c5h;jd;9h
3775;qsjs;2h9cks;ah;ac
3781;4d5d;ad2h5s;6c;8d
3791;td6d;qhkhjd;jc;qd
3797;kcac;ks8sqd;8d;8h
3798;5d2d;5s8c2h;js;jd
3802;qc3c;;;
3805;4d7d;4s9h5s;9s;
3809;ac4c;;;
3825;9s4s;2c3c6s;7h;
3829;qd4d;;;
3835;3d4d;kc8dts;;
3838;5cjc;;;
3840;js3s;jc9s6s;ac;
3841;th9h;;;
3844;3s4s;8stdac;6c;
3848;7sjs;;;
3859;kc2c;ac8ctc;7d;7c
3861;3h4h;2cjh9s;4c;
3868;kc4c;qctdth;3c;7s
3869;3d6d;ks2ckh;jh;
3871;8c3c;2sks7c;td;
3876;jh5h;tcjs6c;qc;ac
3887;asjs;ts7d7c;kh;
3897;7d2d;8das5h;4h;3h
3909;8ckc;ah6d8d;8h;jd
3919;5d2d;9hkh3s;jc;
3924;ks4s;7dqh9h;qs;
3942;6h5h;ks4c2s;6d;
3946;8c7c;jd4h2h;4s;
3947;6sts;;;
3949;kc4c;ks6cad;3h;
3950;qcjc;tsth7h;5d;5c
3953;9s6s;as5h8d;3c;kh
3955;5h7h;6sas9c;jc;
3989;kh8h;3s9d5d;th;
3995;4c5c;qhas2c;6s;
4000;th8h;2d9c2h;;
4007;9c2c;qc8sjs;;
4019;jdkd;7c8hqs;qd;
4025;6s2s;;;
4026;9d7d;6das8d;;
4034;7s5s;4h7d3s;5h;ts
4038;ac8c;5hqs2h;7s;
4039;2dqd;8hthkc;ad;
4047;tsks;6c4c2h;kh;5h
4054;9s3s;2c4h9d;4s;5h
4058;th3h;;;
4066;jh4h;5s7djc;4d;2h
4069;jh9h;3sjd4c;ks;kc
4074;2h6h;7h8s4h;9d;ad
4085;js7s;3s6hqd;td;7d
4087;3d2d;6c4c2c;;
4095;3h5h;ac5c2s;8c;jh
4099;ahkh;jhkd7s;3d;tc
4103;8cjc;2s3c7c;ks;7h
4107;2c9c;7dkh7h;;
4117;ts8s;;;
4123;2sjs;4s3d4c;ks;qs
4131;4hth;;;
4133;3d7d;;;
4184;8c5c;;;
4186;3sks;;;
4187;4h2h;kd3c7s;9s;qh
4194;js7s;;;
4195;8d6d;5h9c9s;js;3c
4200;jd4d;;;
4205;8dqd;5sac7s;;
4206;kh7h;;;
4213;7dtd;;;
4216;as8s;;;
4221;ah8h;2htd3d;ad;8c
4234;jhth;;;
4238;5ckc;3cac4h;;
4248;6dad;5s6sqh;;
4249;jctc;4c6sqd;7s;jh
4252;9h7h;th3dks;;
4269;th2h;;;
4272;5ctc;jh8h7c;ac;2d
4279;tdqd;2h5d9h;;
4293;6dtd;;;
4302;9c2c;;;
4304;3sjs;;;
4305;7d4d;;;
4312;2c3c;;;
4327;ks2s;;;
4329;6s2s;ts6hqc;7s;6c
4335;4s6s;;;
4344;qcac;2dtd2h;kd;2s
4345;kc9c;7d9h7h;qd;7c
4351;4d7d;;;
4359;4d8d;;;
4365;2hqh;;;
4369;9c5c;;;
4372;7ckc;2s6sjc;ah;kd
4379;5c8c;qc4c9s;;
4390;7ctc;4dad9d;9c;2h
4396;7h6h;asqs7d;ah;
4398;5d2d;;;
4404;qdad;;;
4410;qdkd;;;
4429;kh2h;6h2s4d;8h;6d
4470;2c4c;ts8d8h;4s;
