id;Pocket;Table;Turn;River;proba_win_preflop;proba_draw_preflop;best_hand_flop;checker_flop;proba_win_flop;proba_draw_flop;best_hand_turn;checker_turn;proba_win_turn;proba_draw_turn;best_hand_river;checker_river;proba_win_river;proba_draw_river
469;5cac;;;;0.58301;0.0364;;;;;;;;;;;;
473;6h9h;kh8d4c;ah;9d;0.45196;0.04535;HIGH_CARD;1.0;0.29735;0.03195;HIGH_CARD;1.0;0.4636144049187527;0.03142292490118577;ONE_PAIR;0.5;0.6393939393939394;0.03838383838383838
475;qd9d;;;;0.56259;0.02856;;;;;;;;;;;;
477;5sks;7s5d3d;2c;;0.53834;0.03914;ONE_PAIR;0.5;0.62035;0.01895;ONE_PAIR;0.5;0.6525032938076416;0.008871321914800176;;;;
487;qc5c;3h7hqs;;;0.50507;0.03984;ONE_PAIR;0.5;0.7797;0.02335;;;;;;;;
492;5c2c;;;;0.34956;0.05859;;;;;;;;;;;;
494;5h4h;asqcah;4s;qh;0.38439;0.05845;ONE_PAIR;1.0;0.1877;0.1596;TWO_PAIR;0.75;0.5040404040404041;0.0626921387790953;TWO_PAIR;1.0;0.044444444444444446;0.03333333333333333
497;th4h;ad3h2h;;;0.43895;0.04606;HIGH_CARD;1.0;0.5762;0.0337;;;;;;;;
504;tc9c;4hjh3c;7s;td;0.52327;0.03144;HIGH_CARD;1.0;0.35055;0.0166;HIGH_CARD;1.0;0.37125603864734297;0.012758014931927976;ONE_PAIR;0.5;0.7373737373737373;0.006060606060606061
505;td9d;th6htc;kc;;0.52327;0.03144;THREE_OF_A_KIND;0.6666666666666666;0.9246;0.01475;THREE_OF_A_KIND;0.6666666666666666;0.8055775142731665;0.01585419411506368;;;;
512;kcac;;;;0.66158;0.01626;;;;;;;;;;;;
513;7hkh;3h2c4h;7d;7s;0.55929;0.03367;HIGH_CARD;0.0;0.61025;0.01285;ONE_PAIR;0.5;0.7621212121212121;0.00461133069828722;THREE_OF_A_KIND;0.6666666666666666;0.9424242424242424;0.0030303030303030303
520;7d3d;jc8h6d;5h;;0.37348;0.05459;HIGH_CARD;1.0;0.22685;0.0437;HIGH_CARD;1.0;0.3269433465085639;0.0401624945103206;;;;
524;5c6c;4dqcjh;;;0.40347;0.05645;HIGH_CARD;1.0;0.23605;0.0465;;;;;;;;
526;7d9d;7s9sks;qs;ac;0.46978;0.04351;TWO_PAIR;0.5;0.70495;0.0458;TWO_PAIR;0.5;0.5070707070707071;0.16649099692577954;TWO_PAIR;0.5;0.5606060606060606;0.00404040404040404
527;6h8h;5sad3d;;;0.43807;0.0495;HIGH_CARD;1.0;0.2183;0.02095;;;;;;;;
532;tc7c;3cac9s;5s;6c;0.48267;0.0397;HIGH_CARD;1.0;0.5538;0.02385;HIGH_CARD;1.0;0.4098594642072903;0.01209925340360123;FLUSH;0.6;0.9818181818181818;0.0
533;9h8h;5htsac;js;qh;0.48748;0.03821;HIGH_CARD;1.0;0.33315;0.03985;HIGH_CARD;1.0;0.31493192797540626;0.05516029863855951;STRAIGHT;0.6;0.8191919191919191;0.00909090909090909
534;jd8d;8h8sth;;;0.52167;0.03354;THREE_OF_A_KIND;0.6666666666666666;0.9058;0.0161;;;;;;;;
535;jcac;6htsqs;9s;;0.64361;0.01974;HIGH_CARD;0.0;0.57205;0.01395;HIGH_CARD;0.0;0.34723320158102766;0.014888010540184453;;;;
